80,Kalisz,96-176,Malinowa,203,78,Lomianki Dolne
81,Dabrowa Gornicza,33-999,Okulickiego,38,72,Koszyki
82,Czersk,98-374,Grabowa,114,20,Marsa
83,Opole,38-552,Jarzebinowa,443,69,Krowodrza
84,Czchow,73-033,Chabrowa,123,46,Grabow
85,Chojnice,54-349,Okrzei,299,30,Skarpa Powsinska
86,Chorzow,39-138,Kreta,164,80,Siekierki
87,Gdansk,87-034,Krucza,160,57,Stare Miasto
88,Kutno,27-866,Wyzwolenia,160,53,Pyry
89,Glogow,53-541,Lotnicza,6,63,Wygledow
90,Czestochowa,54-265,Rolnicza,391,46,Wawer
91,Chocznia,45-526,Korfantego,108,81,Bartycka
92,Wloclawek,24-480,Lelewela,227,73,Gorny Mokotow
93,Czerniejewo,61-372,Wroclawska,27,27,Lipiny
94,Chorzow,95-040,Dluga,204,64,Jelonki
95,Ciechanow,50-338,Jana Sobieskiego,97,59,Radosc
96,Garwolin,48-427,Czeresniowa,4,70,Kamionek
97,Rzeszow,59-516,Glogowa,96,77,Filtry
98,Drawno,90-734,Letniskowa,30,62,Wola
99,Chodziez,28-736,Mieszka I,436,41,Srodmiescie
100,Kielce,03-642,Slonecznikowa,6,76,Filtry
101,Czarna Woda,32-606,Piastowska,446,79,Wierzbno
102,Czorsztyn,10-150,Blekitna,84,47,Nowa Huta
103,Czarnkow,02-936,Witosa,8,52,Koszyki
104,Garczegorze,64-887,Strumykowa,112,55,Koszyki
105,Czerniejewo,48-737,Pogodna,55,51,Kamionek
106,Gorzow Wielkopolski,44-419,Truskawkowa,227,83,Ksiecia Janusza
107,Szczecin,59-764,Sowia,450,10,Dolny Mokotow
108,Czarna Bialostocka,34-430,Zurawia,429,23,Lomianki Dolne
109,Gniezno,61-964,Harcerska,103,20,Stegny
110,Frampol,49-230,Kosciuszki,173,41,Sluzew
111,Gubin,89-589,Palacowa,401,64,Krowodrza
112,Kalisz,12-279,Wiosenna,12,63,Marsa
113,Garwolin,37-736,Nowowiejska,38,52,Filtry
114,Garczegorze,65-037,Targowa,264,77,Kepa Tarchominska
115,Drezdenko,21-356,Kasztanowa,9,58,Krowodrza
116,Kalisz,22-566,Kochanowskiego,160,21,Pomiechowek
117,Tychy,50-119,Baltycka,396,69,Praga-Poludnie
118,Gardno,57-842,Sowia,33,22,Podgorze
119,Drawno,68-351,Krolewska,72,33,Kaskada
120,Lublin,02-926,Stolarska,330,47,Pomiechowek
121,Katowice,65-883,Browarna,211,45,Bielany
122,Bialystok,67-120,Starowiejska,177,71,Pyry
123,Czersk,15-344,Zrodlana,421,12,Nadolnik
124,Kolobrzeg,01-519,Kowalska,79,39,Pyry
125,Gardno,62-393,Orla,85,66,Wierzbno
126,Chodziez,99-255,Polna,337,61,Stara Milosna
127,Rybnik,31-516,Tartaczna,326,41,Imielin
128,Chrzanow,68-110,Rozana,60,22,Saska Kepa
129,Gubin,43-006,Czeresniowa,393,13,Pomiechowek
130,Czestochowa,04-832,Koralowa,388,15,Ksawerow
131,Tarnow,36-935,Chelmonskiego,178,68,Rakowka
132,Czarnkow,73-410,Wybickiego,215,41,Czacki
133,Rybnik,82-072,Pilsudskiego,304,25,Rakowka-Kaweczyn
134,Krakow,26-997,Czarnieckiego,166,15,Stary Mokotow
135,Swiecie,69-723,Maja,337,36,Ksawerow
136,Olsztyn,58-389,Borowkowa,346,25,Praga-Poludnie
137,Czarna Woda,30-712,Wyzwolenia,184,55,Ochota
138,Gostynin,49-458,Korczaka,396,10,Zoliborz
139,Czarna Woda,34-705,Slonecznikowa,85,37,Grochow
140,Czarnkow,88-564,Plazowa,255,62,Sadyba
141,Goleniow,24-225,Osiedlowa,476,24,Dolny Mokotow
142,Dobrzany,40-059,Nadrzeczna,144,44,Ursynow
143,Czchow,40-024,Harcerska,211,19,Stare Miasto
144,Czerwionka,49-324,Labedzia,102,69,Zoliborz
145,Chorzow,57-024,Malinowa,151,56,Szczesliwice
146,Frydman,36-482,Strazacka,203,29,Radosc
147,Dubiecko,60-840,Sowia,305,20,Pyry
148,Klucze,86-134,Kazimierza Wielkiego,193,35,Czacki
149,Czosnow,53-280,Letnia,475,10,Wesola
150,Czestochowa,09-557,Boczna,448,38,Mokotow Zachodni
151,Kutno,04-947,Wroclawska,78,83,Muranow Poludniowy
152,Czchow,71-336,Solidarnosci,174,33,Grabow
153,Chelmno,68-320,Reja,260,70,Jelonki
154,Gdansk,47-162,Mlynarska,197,15,Bielany
155,Grudziadz,97-793,Zaulek,139,10,Jelonki
156,Krakow,69-554,Makuszynskiego,144,33,Radosna
157,Kostrzyn nad Odra,62-200,Baltycka,68,46,Skarpa Powsinska
158,Czaplinek,87-683,Krasinskiego,209,76,Wola
159,Chorzow,99-057,Mlynska,125,69,Bartycka
160,Chorzow,71-052,Szpitalna,325,16,Mokotow
161,Gostynin,46-989,Labedzia,359,59,Sluzewiec
162,Gostyn,22-486,Wladyslawa Jagielly,375,82,Szczesliwice
163,Elblag,67-708,Morelowa,157,30,Sluzew
164,Gardno,18-833,Laczna,137,77,Wlochy
165,Bielsko-Biala,45-858,Skosna,398,31,Bielany
166,Torun,22-461,Lisia,227,21,Szczesliwice
167,Bielsko-Biala,81-884,Dojazdowa,322,26,Stara Ochota
168,Klucze,51-128,Zakole,185,33,Targowek
169,Wloclawek,89-512,Gorska,67,84,Przyczolek Grochowski
170,Czarna Woda,70-305,Szeroka,198,46,Radosna
171,Bydgoszcz,09-050,Krotka,113,20,Pyry
172,Goleniow,84-078,Orzeszkowej,423,36,Wilanow
173,Ruda Slaska,17-576,Wschodnia,352,21,Michalowice
174,Frysztak,16-893,Cyprysowa,124,51,Wesola
175,Ciechocinek,35-658,Boczna,200,61,Saska Kepa
176,Goleniow,38-657,Daszynskiego,174,69,Stara Ochota
177,Ketrzyn,16-296,Azaliowa,71,46,Kepa Tarchominska
178,Chojnice,89-247,Hallera,481,73,Stare Miasto
179,Zabrze,69-320,Widokowa,360,24,Zoliborz
180,Ketrzyn,49-908,Brzoskwiniowa,74,82,Bielany
181,Cieplice,64-892,Kielecka,48,31,Zoliborz
182,Garczegorze,41-696,Rolnicza,94,22,Bielany
183,Bytom,65-367,Tysiaclecia,313,49,Czacki
184,Kluczbork,13-724,Cmentarna,103,15,Siekierki
185,Czosnow,48-020,Skladowa,193,41,Mokotow-Poludnie
186,Mielec,47-055,Staszica,303,51,Olesinska
187,Folk,34-630,Dabrowskiego,106,80,Powisle
188,Choszczno,56-886,Wisniowa,75,50,Jelonki
189,Gliwice,93-453,Borowkowa,369,29,Imielin
190,Dolice,82-606,Jagiellonska,114,22,Kaweczyn
191,Czosnow,53-186,Blekitna,240,47,Rakowka
192,Ketrzyn,80-593,Boleslawa Chrobrego,89,56,Koszyki
193,Grudziadz,30-913,Andersa,168,61,Krowodrza
194,Chelmza,89-129,Stefana Batorego,435,48,Dolny Mokotow
195,Plock,92-551,Tartaczna,288,23,Kamionek
196,Mielec,29-618,Solidarnosci,163,68,Ksawerow
197,Chojno,88-183,Morcinka,137,45,Rakowka-Kaweczyn
198,Radom,63-448,Przemyslowa,477,45,Srodmiescie
199,Katowice,07-438,Baczynskiego,257,71,Siekierki
200,Ketrzyn,02-602,Cicha,421,31,Rakowka
201,Swidwin,50-661,Milosza,356,59,Wrzeciono
202,Chojnice,48-419,Cicha,16,47,Ksawerow
203,Swiebodzice,90-174,Zlota,169,78,Natolin
204,Choszczno,58-081,Jana III Sobieskiego,324,57,Imielin
205,Ciechanow,62-086,Radosna,418,45,Mokotow
206,Drezdenko,40-091,Jagodowa,129,10,Pomiechowek
207,Chodziez,91-523,Maja,51,41,Rakowka
208,Dubiecko,37-270,Krolewska,478,76,Bemowo
209,Krotoszyn,94-104,Krancowa,234,65,Stegny
210,Chojnice,34-028,Swierkowa,418,56,Mlociny
211,Garczegorze,64-928,Mazowiecka,200,53,Szczesliwice
212,Glogow,65-719,Traugutta,350,77,Olesinska
213,Czosnow,68-458,Jaworowa,136,42,Mokotow Zachodni
214,Gostyn,56-938,Chabrowa,328,17,Czerniakow
215,Garczegorze,63-915,Lawendowa,213,46,Sluzew
216,Plock,91-165,Koscielna,106,72,Grochow
217,Czestochowa,81-457,Powstancow,191,18,Wrzeciono
218,Mielec,90-051,Krasickiego,41,27,Kepa Tarchominska
219,Kety,67-574,Odrzanska,30,28,Mirow
220,Bydgoszcz,28-085,Korczaka,362,22,Michalowice
221,Glogow,46-141,Kossaka,191,70,Bialoleka
222,Frampol,16-276,Nowowiejska,252,28,Stara Ochota
223,Drezdenko,74-456,Zwyciestwa,277,23,Marsa
224,Garwolin,10-797,Kasztanowa,358,32,Bartycka
225,Chelmno,59-485,Bukowa,108,35,Powsin
226,Bielsko-Biala,62-291,Kolejowa,239,79,Wesola
227,Gorzow Wielkopolski,42-515,Szeroka,214,73,Jelonki
228,Czerwionka,83-846,Mickiewicza,325,22,Grabow
229,Koscian,73-637,Slowicza,92,25,Stary Mokotow
230,Czarnkow,02-212,Kielecka,311,79,Podgorze
231,Chodziez,95-532,Wiazowa,364,30,Michalowice
232,Bydgoszcz,95-759,Powstancow,184,80,Rakowka
233,Duszniki-Zdroj,43-909,Konwaliowa,59,82,Zacisze
234,Chelmno,24-815,Dobra,138,51,Sluzew
235,Elblag,50-699,Kochanowskiego,484,36,Srodmiescie
236,Krakow,71-326,Gdanska,419,10,Bartycka
237,Czersk,07-109,Maczka,497,13,Siekierki
238,Frampol,18-439,Sportowa,238,21,Czacki
239,Dziwnow,58-477,Jarzebinowa,1,26,Stare Miasto
240,Czarna Bialostocka,43-708,Kopernika,311,30,Saska Kepa
241,Bielsko-Biala,78-794,Opolska,379,62,Rembertow
242,Jaworzno,52-124,Jana Sobieskiego,388,22,Lomianki Dolne
243,Czestochowa,99-400,Polnocna,418,19,Olesinska
244,Swiebodzice,45-290,Przemyslowa,184,45,Sluzew
245,Wloclawek,36-837,Floriana,473,10,Zoliborz
246,Jarocin,68-267,Warszawska,121,76,Dolny Mokotow
247,Dziwnowek,88-781,Zytnia,173,66,Muranow
248,Gniezno,76-517,Zrodlana,169,59,Kozia
249,Czosnow,87-540,Malinowa,310,76,Powsin
250,Chelmno,81-838,Powstancow,241,52,Stegny
251,Wroclaw,31-986,Krancowa,360,31,Powsin
252,Gizycko,99-429,Lelewela,55,32,Czacki
253,Kartuzy,31-245,Willowa,446,54,Wawer
254,Frampol,22-419,Radosna,221,48,Stara Ochota
255,Chojnice,73-803,Poziomkowa,318,82,Lomianki Dolne
256,Gardno,39-208,Rybacka,24,53,Witolin
257,Frombork,98-012,Diamentowa,494,10,Mokotow Zachodni
258,Duszniki-Zdroj,94-397,Dabrowskiej,233,50,Witolin
259,Dabrowa Gornicza,42-244,Klasztorna,43,15,Radosna
260,Duszniki-Zdroj,49-868,Krokusowa,437,42,Gorny Mokotow
261,Jaworzno,49-547,Wyzwolenia,84,42,Koszyki
262,Rzeszow,57-726,Sadowa,316,49,Sluzewiec
263,Elblag,68-204,Brzozowa,74,56,Praga-Polnoc
264,Gniezno,17-408,Graniczna,210,11,Wilanow
265,Torun,32-061,Stefana Batorego,249,51,Bartycka
266,Gubin,97-143,Slonecznikowa,82,31,Kepa Tarchominska
267,Kolobrzeg,39-588,Lotnicza,142,30,Stara Ochota
268,Bytom,65-394,Stolarska,89,38,Michalowice
269,Gostyn,18-925,Dojazdowa,232,45,Ksiecia Janusza
270,Elblag,23-405,Slowicza,427,59,Czacki
271,Warsaw,93-725,Kusocinskiego,499,71,Powisle
272,Sosnowiec,93-579,Mokra,165,71,Bielany
273,Szczecin,90-565,Chelmonskiego,138,29,Muranow Poludniowy
274,Frombork,71-091,Glowna,139,18,Lipiny
275,Torun,33-764,Starowiejska,224,31,Nadolnik
276,Wloclawek,90-806,Jastrzebia,391,71,Gorczewska
277,Bielsko-Biala,70-651,Jodlowa,68,70,Srodmiescie
278,Bielsko-Biala,23-418,Poznanska,180,64,Grodzisk
279,Kielce,31-412,Wierzbowa,78,29,Witolin
280,Koscian,61-571,Dolna,463,65,Rakowka-Kaweczyn
281,Ruda Slaska,79-926,Szczesliwa,45,20,Filtry
282,Czestochowa,26-213,Broniewskiego,159,31,Srodmiescie
283,Cieplice,29-910,Sowia,119,17,Mokotow Zachodni
284,Czerwionka,62-120,Urocza,47,22,Ochota
285,Kostrzyn nad Odra,86-142,Glowna,239,70,Pyry
286,Poznan,68-083,Wypoczynkowa,141,37,Pyry
287,Czarna Woda,51-429,Chabrowa,386,78,Ochota
288,Ciechocinek,80-306,Jadwigi,380,79,Lazienki Krolewskie
289,Gostynin,98-736,Wiosenna,39,47,Zacisze
290,Drawno,87-893,Gorska,41,59,Rakowiec
291,Cieplice,03-474,Bukowa,66,82,Stara Ochota
292,Tarnow,78-054,Staszica,75,41,Michalowice
293,Elblag,45-215,Krasinskiego,281,11,Stara Milosna
294,Kutno,94-287,Chelmonskiego,433,36,Wesola
295,Swidwin,25-912,Zakatek,58,57,Kozia
296,Dobrzany,44-875,Towarowa,442,43,Rakowka-Kaweczyn
297,Rzeszow,73-326,Kaliska,22,71,Muranow
298,Drawsko Pomorskie,76-802,Odrzanska,25,61,Lomianki Dolne
299,Bialystok,32-347,Floriana,286,54,Wlochy
300,Gostyn,68-196,Konstytucji 3 Maja,281,83,Kamionek
301,Tarnow,86-173,Gorna,277,71,Skarpa Powsinska
302,Kartuzy,93-911,Rumiankowa,409,42,Czacki
303,Lodz,66-070,Piekarska,4,54,Pomiechowek
304,Swiecie,12-616,Kreta,13,27,Stegny
305,Tarnow,66-181,Zytnia,365,70,Wrzeciono
306,Frysztak,96-684,Jasminowa,18,17,Praga-Poludnie
307,Chojnice,71-234,Poniatowskiego,64,77,Witolin
308,Kazimierz Dolny,35-895,Piwna,24,11,Filtry
309,Ruda Slaska,84-173,Szczesliwa,305,11,Rakowka
310,Czersk,23-290,Klasztorna,392,47,Krowodrza
311,Bytom,11-125,Piekarska,61,29,Wierzbno
312,Lodz,68-390,Fiolkowa,129,76,Grabow
313,Kostrzyn nad Odra,23-904,Wyspianskiego,58,75,Bielany
314,Czersk,08-001,Slaska,211,72,Zacisze
315,Dolice,31-135,Zeromskiego,133,51,Krowodrza
316,Rzeszow,69-046,Kreta,360,50,Podgorze
317,Ruda Slaska,35-857,Wierzbowa,131,74,Rembertow
318,Zabrze,48-224,Lawendowa,122,10,Olesinska
319,Kielce,59-485,Pocztowa,274,29,Srodmiescie
320,Frombork,75-034,Robotnicza,225,56,Stara Milosna
321,Czarnkow,47-528,Krucza,290,50,Kozia
322,Czerniejewo,18-066,Cisowa,54,38,Rembertow
323,Kalisz,65-762,Andersa,486,21,Witolin
324,Bytom,80-210,Wspolna,399,17,Pyry
325,Kartuzy,95-887,Ceglana,304,16,Bielany
326,Grudziadz,78-901,Reja,52,80,Wrzeciono
327,Kolobrzeg,21-737,Ksiezycowa,247,41,Rakowiec
328,Rzeszow,12-828,Bursztynowa,264,23,Powisle
329,Chocznia,24-929,Wodna,116,38,Sluzewiec
330,Czaplinek,70-172,Wesola,161,19,Rembertow
331,Swiecie,23-241,Kochanowskiego,479,47,Powisle
332,Choszczno,88-084,Ludowa,212,43,Bialoleka
333,Ketrzyn,78-350,Bursztynowa,336,16,Wlochy
334,Garwolin,06-004,Strzelecka,28,60,Solec
335,Ciechocinek,84-929,Palacowa,116,63,Stegny
336,Gdynia,75-840,Wojska Polskiego,362,28,Zoliborz
337,Szczecin,77-604,Lazurowa,69,48,Rakowka-Kaweczyn
338,Goleniow,30-781,Ciasna,106,63,Ochota
339,Dolice,76-415,Kaszubska,406,76,Ksawerow
340,Czosnow,64-769,Matejki,468,83,Kabaty
341,Chorzow,63-952,Dlugosza,129,54,Saska Kepa
342,Grudziadz,27-275,Piastowska,76,49,Natolin
343,Chocznia,75-772,Starowiejska,119,43,Solec
344,Torun,46-031,Nowowiejska,340,67,Grabow
345,Koscian,44-635,Perlowa,489,59,Lazienki Krolewskie
346,Szczecin,64-074,Podwale,136,78,Gorczewska
347,Glogow,47-483,Skargi,400,73,Marsa
348,Kielce,25-200,Prosta,201,37,Radosna
349,Wloclawek,53-522,Odrzanska,465,19,Koszyki
350,Sopot,15-153,Dzialkowa,164,62,Witolin
351,Kety,18-486,Korfantego,139,30,Wrzeciono
352,Chojno,27-644,Sarnia,265,61,Natolin
353,Chorzow,16-732,Odrzanska,354,39,Niedzwiadek
354,Przemysl,05-095,Konarskiego,174,84,Szczesliwice
355,Kielce,29-543,Pocztowa,359,13,Mokotow Zachodni
356,Ciechanow,59-503,Lwowska,199,68,Pyry
357,Kartuzy,59-297,Zielona,317,45,Wola
358,Gostyn,74-777,Staszica,321,46,Koszyki
359,Bielsko-Biala,07-853,Rycerska,196,53,Mokotow
360,Chorzele,32-857,Listopada,402,36,Wilanow
361,Kutno,08-393,Podgorna,273,26,Kamionek
362,Bialystok,66-899,Prosta,153,24,Kaweczyn
363,Bydgoszcz,08-245,Strazacka,451,40,Ursynow
364,Kazimierz Dolny,91-469,Sawickiej,423,20,Lipiny
365,Bydgoszcz,76-090,Ptasia,330,70,Marsa
366,Gliwice,20-541,Szarych Szeregow,456,12,Stegny
367,Dobczyce,38-904,Skladowa,322,72,Ochota
368,Gdansk,08-176,Konopnickiej,5,48,Czyste
369,Gostynin,59-822,Miodowa,85,45,Bartycka
370,Chelmno,68-287,Warynskiego,22,39,Wilcza
371,Czosnow,31-818,Malczewskiego,169,80,Olesinska
372,Czorsztyn,42-716,Sowia,199,24,Pyry
373,Dolice,51-144,Daleka,236,45,Czyste
374,Gliwice,20-374,Stefana Batorego,435,33,Gorny Mokotow
375,Dziwnowek,99-592,Zdrojowa,354,71,Szczesliwice
376,Elblag,96-526,Modrzewiowa,479,27,Radosna
377,Szczecin,73-659,Ludowa,304,37,Powsin
378,Chojno,65-751,Norwida,391,48,Siekierki
379,Gostynin,25-816,Maja,419,10,Praga-Polnoc
380,Chorzele,49-994,Skargi,390,35,Kozia
381,Wloclawek,90-188,Czarnieckiego,283,40,Wesola
382,Frampol,52-627,Kollataja,389,11,Mokotow-Poludnie
383,Krasnik,84-766,Konarskiego,308,36,Rakowiec
384,Kostrzyn nad Odra,57-292,Maczka,195,12,Zoliborz
385,Chelmiec,61-590,Maja,339,79,Gorny Mokotow
386,Torun,71-948,Pocztowa,147,54,Wierzbno
387,Czerniejewo,75-186,Srednia,67,73,Zacisze
388,Koscian,41-612,Blekitna,125,57,Mokotow
389,Drezdenko,08-047,Gorska,70,42,Bielany
390,Czarna Bialostocka,80-015,Dabrowskiego,344,45,Sluzewiec
391,Dziwnow,32-691,Chelmonskiego,417,12,Skarpa Powsinska
392,Duszniki-Zdroj,06-029,Hutnicza,111,21,Bielany
393,Chelmiec,30-812,Kaliska,161,38,Stary Mokotow
394,Wroclaw,73-048,Kielecka,396,11,Michalowice
395,Ciechanow,50-327,Irysowa,56,56,Bemowo
396,Frysztak,09-899,Widok,370,72,Stary Mokotow
397,Kostrzyn nad Odra,84-165,Plater,341,76,Nowa Huta
398,Chelmno,76-502,Odrzanska,113,83,Pyry
399,Swidnica,64-489,Czestochowska,16,38,Grodzisk
400,Czersk,63-180,Kossaka,324,64,Wawer
401,Goleniow,77-988,Kamienna,90,46,Wesola
402,Tychy,76-974,Kasztanowa,269,40,Gorny Mokotow
403,Czarnkow,04-080,Skrajna,453,57,Czyste
404,Ruda Slaska,39-099,Azaliowa,370,55,Mokotow
405,Elblag,74-528,Szymanowskiego,274,22,Ursus
406,Kluczbork,67-800,Bociania,199,66,Ochota
407,Sosnowiec,24-944,Lakowa,496,44,Ochota
408,Drawno,50-847,Wisniowa,444,35,Skarpa Powsinska
409,Gizycko,52-125,Grabowa,294,47,Kaweczyn
410,Stargard Szczecinski,23-637,Wroclawska,135,56,Szczesliwice
411,Chelmiec,76-261,Mila,496,75,Rakowiec
412,Bytom,33-217,Dworska,426,59,Zacisze
413,Drezdenko,52-794,Jodlowa,113,65,Witolin
414,Warsaw,61-124,Kolejowa,50,14,Kozia
415,Zabrze,16-244,Mysliwska,152,35,Radosna
416,Bialystok,46-699,Walowa,466,15,Radosc
417,Frampol,46-267,Szkolna,313,58,Szczesliwice
418,Elblag,27-367,Rycerska,405,72,Ursus
419,Warsaw,96-058,Chabrowa,153,44,Kaweczyn
420,Sopot,66-655,Mickiewicza,426,37,Jelonki
421,Warsaw,97-838,Fredry,392,82,Czacki
422,Bielsko-Biala,86-553,Krasinskiego,474,76,Ursus
423,Frydman,22-194,Torunska,319,73,Mlociny
424,Jarocin,98-369,Rubinowa,195,77,Stara Ochota
425,Krakow,23-226,Slaska,324,10,Koszyki
426,Bielsko-Biala,41-770,Kazimierza Wielkiego,168,49,Pyry
427,Dabrowa Gornicza,04-809,Floriana,174,57,Pyry
428,Krasnik,88-972,Kazimierza Wielkiego,432,72,Srodmiescie
429,Frydman,46-119,Letniskowa,203,72,Bialoleka
430,Dobczyce,51-323,Kruczkowskiego,41,78,Targowek
431,Lublin,68-750,Ptasia,146,19,Stara Ochota
432,Koscian,57-146,Partyzantow,134,57,Podgorze
433,Legnica,84-537,Willowa,72,63,Stare Miasto
434,Katowice,16-523,Jalowcowa,496,51,Wlochy
435,Kostrzyn nad Odra,53-408,Podwale,57,25,Bialoleka
436,Olsztyn,41-226,Perlowa,357,39,Filtry
437,Olsztyn,10-162,Wesola,32,33,Kamionek
438,Chocznia,91-122,Milosza,68,52,Koszyki
439,Gliwice,47-826,Konstytucji 3 Maja,306,57,Siekierki
440,Garwolin,89-707,Sosnowa,342,78,Wrzeciono
441,Chorzow,47-688,Niepodleglosci,361,38,Filtry
442,Czorsztyn,33-044,Piaskowa,306,14,Kepa Tarchominska
443,Czerwiensk,29-702,Zrodlana,135,49,Rakowka
444,Chodziez,44-833,Stefana Batorego,281,47,Koszyki
445,Chorzow,39-874,Kolorowa,212,72,Muranow
446,Bytom,76-736,Poludniowa,143,70,Wrzeciono
447,Lodz,89-054,Reymonta,327,31,Bemowo
448,Czestochowa,01-487,Chabrowa,384,70,Wawer
449,Gubin,26-802,Broniewskiego,155,44,Wilanow
450,Dziwnowek,53-256,Blekitna,275,15,Kepa Tarchominska
451,Krotoszyn,23-253,Torunska,336,45,Bielany
452,Dobrzany,05-127,Bociania,21,50,Lazienki Krolewskie
453,Kolobrzeg,48-754,Wiklinowa,226,23,Powsin
454,Kazimierz Dolny,33-772,Sportowa,236,25,Zoliborz
455,Czarna Bialostocka,31-067,Jasna,198,47,Olesinska
456,Bialystok,98-180,Zwyciestwa,104,75,Rembertow
457,Ketrzyn,14-123,Kaliska,235,12,Nowa Huta
458,Kazimierz Dolny,70-256,Tulipanowa,150,66,Skarpa Powsinska
459,Drawsko Pomorskie,52-261,Rolna,471,46,Krowodrza
460,Gardno,95-832,Grottgera,185,66,Kozia
461,Czestochowa,32-747,Warszawska,258,32,Stary Mokotow
462,Sosnowiec,82-040,Rumiankowa,299,40,Jelonki
463,Elblag,48-119,Wilcza,457,37,Powsin
464,Wroclaw,29-962,Perlowa,195,16,Sluzew
