101,2013,170,Environmental Science
102,2014,125,Emotional Intelligence
103,2015,45,Financial Literacy
104,2016,35,Creative Writing
105,2017,80,Public Speaking
106,2018,50,Creative Writing
107,2019,145,Entrepreneurship
108,2020,65,Computer Programming
109,2021,135,Philosophy
110,2022,145,Emotional Intelligence
111,2023,150,Emotional Intelligence
112,2010,60,Creative Writing
113,2011,60,Computer Programming
114,2012,40,Media Literacy
115,2013,100,Emotional Intelligence
116,2014,165,Financial Literacy
117,2015,125,Creative Writing
118,2016,85,Entrepreneurship
119,2017,190,Media Literacy
120,2018,110,Media Literacy
121,2019,185,Financial Literacy
122,2020,120,Global Studies
123,2021,110,Media Literacy
124,2022,180,Emotional Intelligence
125,2023,50,Emotional Intelligence
126,2010,65,Philosophy
127,2011,170,Environmental Science
128,2012,135,Philosophy
129,2013,170,Global Studies
130,2014,85,Media Literacy
131,2015,170,Public Speaking
132,2016,195,Computer Programming
133,2017,55,Entrepreneurship
134,2018,90,Creative Writing
135,2019,110,Financial Literacy
136,2020,65,Environmental Science
137,2021,110,Entrepreneurship
138,2022,170,Philosophy
139,2023,60,Computer Programming
140,2010,115,Public Speaking
141,2011,80,Entrepreneurship
142,2012,150,Philosophy
143,2013,65,Financial Literacy
144,2014,60,Philosophy
145,2015,25,Computer Programming
146,2016,40,Computer Programming
147,2017,195,Entrepreneurship
148,2018,130,Financial Literacy
149,2019,195,Global Studies
150,2020,150,Public Speaking
151,2021,110,Media Literacy
152,2022,175,Global Studies
153,2023,125,Public Speaking
154,2010,110,Media Literacy
155,2011,115,Environmental Science
156,2012,130,Creative Writing
157,2013,100,Public Speaking
158,2014,155,Philosophy
159,2015,150,Public Speaking
160,2016,105,Entrepreneurship
161,2017,30,Environmental Science
162,2018,150,Media Literacy
163,2019,30,Philosophy
164,2020,50,Financial Literacy
165,2021,45,Public Speaking
166,2022,160,Computer Programming
167,2023,115,Financial Literacy
168,2010,40,Philosophy
169,2011,165,Emotional Intelligence
170,2012,95,Environmental Science
171,2013,35,Philosophy
172,2014,40,Creative Writing
173,2015,195,Financial Literacy
174,2016,65,Financial Literacy
175,2017,165,Creative Writing
176,2018,170,Entrepreneurship
177,2019,60,Philosophy
178,2020,175,Emotional Intelligence
179,2021,30,Environmental Science
180,2022,115,Financial Literacy
181,2023,95,Environmental Science
182,2010,35,Emotional Intelligence
183,2011,140,Environmental Science
184,2012,105,Public Speaking
185,2013,110,Creative Writing
186,2014,160,Public Speaking
187,2015,160,Financial Literacy
188,2016,105,Environmental Science
189,2017,40,Creative Writing
190,2018,190,Environmental Science
191,2019,45,Emotional Intelligence
192,2020,140,Entrepreneurship
193,2021,55,Philosophy
194,2022,50,Media Literacy
195,2023,85,Philosophy
196,2010,140,Entrepreneurship
197,2011,50,Environmental Science
198,2012,150,Media Literacy
199,2013,80,Computer Programming
200,2014,60,Emotional Intelligence
201,2015,160,Global Studies
202,2016,180,Computer Programming
203,2017,45,Entrepreneurship
204,2018,90,Financial Literacy
205,2019,30,Public Speaking
206,2020,100,Computer Programming
207,2021,95,Financial Literacy
208,2022,160,Global Studies
209,2023,105,Media Literacy
210,2010,100,Creative Writing
211,2011,150,Financial Literacy
212,2012,100,Global Studies
213,2013,170,Philosophy
214,2014,85,Emotional Intelligence
215,2015,175,Creative Writing
216,2016,75,Environmental Science
217,2017,160,Emotional Intelligence
218,2018,85,Emotional Intelligence
219,2019,130,Entrepreneurship
220,2020,195,Public Speaking
221,2021,170,Public Speaking
222,2022,145,Financial Literacy
223,2023,90,Environmental Science
224,2010,50,Financial Literacy
225,2011,135,Entrepreneurship
226,2012,65,Computer Programming
227,2013,135,Public Speaking
228,2014,55,Emotional Intelligence
229,2015,65,Global Studies
230,2016,30,Entrepreneurship
231,2017,175,Entrepreneurship
232,2018,145,Public Speaking
233,2019,155,Philosophy
234,2020,190,Emotional Intelligence
235,2021,190,Financial Literacy
236,2022,35,Philosophy
237,2023,70,Computer Programming
238,2010,145,Philosophy
239,2011,125,Environmental Science
240,2012,85,Computer Programming
241,2013,75,Media Literacy
242,2014,175,Entrepreneurship
243,2015,45,Financial Literacy
244,2016,170,Philosophy
245,2017,30,Public Speaking
246,2018,40,Emotional Intelligence
247,2019,50,Global Studies
248,2020,75,Media Literacy
249,2021,105,Environmental Science
250,2022,95,Computer Programming
251,2023,80,Philosophy
252,2010,165,Computer Programming
253,2011,160,Financial Literacy
254,2012,100,Creative Writing
255,2013,160,Entrepreneurship
256,2014,110,Emotional Intelligence
257,2015,150,Emotional Intelligence
258,2016,70,Creative Writing
259,2017,195,Entrepreneurship
260,2018,50,Philosophy
261,2019,40,Entrepreneurship
262,2020,105,Computer Programming
263,2021,80,Philosophy
264,2022,130,Global Studies
265,2023,175,Financial Literacy
266,2010,25,Environmental Science
267,2011,60,Media Literacy
268,2012,50,Media Literacy
269,2013,75,Media Literacy
270,2014,105,Philosophy
271,2015,140,Philosophy
272,2016,30,Emotional Intelligence
273,2017,95,Public Speaking
274,2018,185,Financial Literacy
275,2019,65,Global Studies
276,2020,110,Environmental Science
277,2021,25,Financial Literacy
278,2022,75,Public Speaking
279,2023,65,Environmental Science
280,2010,45,Creative Writing
281,2011,135,Financial Literacy
282,2012,55,Media Literacy
283,2013,185,Environmental Science
284,2014,65,Financial Literacy
285,2015,85,Emotional Intelligence
286,2016,100,Creative Writing
287,2017,190,Creative Writing
288,2018,160,Media Literacy
289,2019,130,Environmental Science
290,2020,40,Entrepreneurship
291,2021,80,Computer Programming
292,2022,40,Entrepreneurship
293,2023,120,Financial Literacy
294,2010,185,Public Speaking
295,2011,40,Global Studies
296,2012,105,Media Literacy
297,2013,195,Computer Programming
298,2014,180,Computer Programming
299,2015,70,Creative Writing
300,2016,130,Philosophy
301,2017,60,Emotional Intelligence
302,2018,130,Philosophy
303,2019,150,Philosophy
304,2020,160,Philosophy
305,2021,105,Creative Writing
306,2022,130,Creative Writing
307,2023,135,Computer Programming
308,2010,120,Environmental Science
309,2011,125,Emotional Intelligence
310,2012,155,Emotional Intelligence
311,2013,175,Public Speaking
312,2014,110,Financial Literacy
313,2015,115,Global Studies
314,2016,190,Environmental Science
315,2017,80,Public Speaking
316,2018,165,Global Studies
317,2019,115,Financial Literacy
318,2020,75,Entrepreneurship
319,2021,45,Environmental Science
320,2022,175,Environmental Science
321,2023,125,Computer Programming
322,2010,145,Media Literacy
323,2011,120,Philosophy
324,2012,175,Media Literacy
325,2013,150,Philosophy
326,2014,90,Philosophy
327,2015,60,Environmental Science
328,2016,175,Emotional Intelligence
329,2017,100,Emotional Intelligence
330,2018,160,Computer Programming
331,2019,65,Global Studies
332,2020,60,Public Speaking
333,2021,145,Public Speaking
334,2022,30,Philosophy
335,2023,50,Creative Writing
336,2010,110,Philosophy
337,2011,65,Global Studies
338,2012,125,Entrepreneurship
339,2013,115,Environmental Science
340,2014,195,Emotional Intelligence
341,2015,115,Creative Writing
342,2016,190,Entrepreneurship
343,2017,30,Financial Literacy
344,2018,40,Computer Programming
345,2019,165,Media Literacy
346,2020,190,Entrepreneurship
347,2021,65,Entrepreneurship
348,2022,190,Environmental Science
349,2023,65,Philosophy
350,2010,50,Philosophy
351,2011,180,Media Literacy
352,2012,50,Global Studies
353,2013,105,Computer Programming
354,2014,150,Computer Programming
355,2015,70,Philosophy
356,2016,75,Creative Writing
357,2017,40,Global Studies
358,2018,175,Emotional Intelligence
359,2019,110,Computer Programming
360,2020,110,Entrepreneurship
361,2021,185,Environmental Science
362,2022,55,Public Speaking
363,2023,40,Media Literacy
364,2010,190,Global Studies
365,2011,70,Philosophy
366,2012,85,Philosophy
367,2013,75,Computer Programming
368,2014,195,Public Speaking
369,2015,100,Philosophy
370,2016,70,Entrepreneurship
371,2017,190,Media Literacy
372,2018,40,Entrepreneurship
373,2019,170,Computer Programming
374,2020,45,Global Studies
375,2021,120,Philosophy
376,2022,115,Philosophy
377,2023,75,Global Studies
378,2010,25,Computer Programming
379,2011,70,Global Studies
380,2012,80,Entrepreneurship
381,2013,55,Public Speaking
382,2014,95,Entrepreneurship
383,2015,140,Philosophy
384,2016,25,Global Studies
385,2017,190,Global Studies
386,2018,30,Global Studies
387,2019,90,Entrepreneurship
388,2020,190,Entrepreneurship
389,2021,95,Financial Literacy
390,2022,45,Environmental Science
391,2023,30,Philosophy
392,2010,100,Entrepreneurship
393,2011,135,Creative Writing
394,2012,150,Global Studies
395,2013,90,Financial Literacy
396,2014,100,Creative Writing
397,2015,100,Public Speaking
398,2016,165,Media Literacy
399,2017,70,Philosophy
400,2018,105,Computer Programming
401,2019,165,Creative Writing
402,2020,60,Media Literacy
403,2021,45,Creative Writing
404,2022,80,Global Studies
405,2023,170,Entrepreneurship
406,2010,185,Media Literacy
407,2011,180,Philosophy
408,2012,45,Environmental Science
409,2013,180,Financial Literacy
410,2014,175,Public Speaking
411,2015,90,Entrepreneurship
412,2016,120,Creative Writing
413,2017,90,Creative Writing
414,2018,105,Entrepreneurship
415,2019,125,Public Speaking
416,2020,130,Public Speaking
417,2021,45,Philosophy
418,2022,40,Public Speaking
419,2023,190,Environmental Science
420,2010,105,Entrepreneurship
421,2011,45,Computer Programming
422,2012,80,Computer Programming
423,2013,25,Creative Writing
424,2014,25,Environmental Science
425,2015,95,Emotional Intelligence
426,2016,120,Financial Literacy
427,2017,70,Financial Literacy
428,2018,185,Global Studies
429,2019,80,Financial Literacy
430,2020,130,Emotional Intelligence
431,2021,45,Global Studies
432,2022,120,Media Literacy
433,2023,60,Environmental Science
434,2010,45,Entrepreneurship
435,2011,95,Global Studies
436,2012,175,Philosophy
437,2013,115,Global Studies
438,2014,35,Entrepreneurship
439,2015,135,Media Literacy
440,2016,150,Media Literacy
441,2017,60,Entrepreneurship
442,2018,45,Creative Writing
443,2019,80,Media Literacy
444,2020,70,Global Studies
445,2021,55,Emotional Intelligence
446,2022,25,Entrepreneurship
447,2023,60,Media Literacy
448,2010,150,Philosophy
449,2011,45,Computer Programming
450,2012,65,Emotional Intelligence
451,2013,120,Financial Literacy
452,2014,35,Global Studies
453,2015,195,Financial Literacy
454,2016,145,Financial Literacy
455,2017,165,Environmental Science
456,2018,130,Entrepreneurship
457,2019,160,Computer Programming
458,2020,185,Environmental Science
459,2021,50,Financial Literacy
460,2022,140,Emotional Intelligence
461,2023,105,Financial Literacy
462,2010,35,Media Literacy
463,2011,100,Financial Literacy
464,2012,120,Media Literacy
465,2013,50,Environmental Science
466,2014,45,Environmental Science
467,2015,150,Environmental Science
468,2016,45,Philosophy
469,2017,180,Creative Writing
470,2018,180,Entrepreneurship
471,2019,160,Financial Literacy
472,2020,145,Emotional Intelligence
473,2021,185,Financial Literacy
474,2022,100,Financial Literacy
475,2023,195,Environmental Science
476,2010,95,Emotional Intelligence
477,2011,60,Entrepreneurship
478,2012,195,Emotional Intelligence
479,2013,110,Entrepreneurship
480,2014,110,Entrepreneurship
481,2015,50,Environmental Science
482,2016,30,Emotional Intelligence
483,2017,85,Environmental Science
484,2018,195,Entrepreneurship
485,2019,110,Entrepreneurship
486,2020,160,Environmental Science
487,2021,190,Creative Writing
488,2022,190,Public Speaking
489,2023,185,Financial Literacy
490,2010,145,Emotional Intelligence
491,2011,90,Public Speaking
492,2012,105,Environmental Science
493,2013,110,Financial Literacy
494,2014,165,Global Studies
495,2015,25,Emotional Intelligence
496,2016,135,Philosophy
497,2017,115,Creative Writing
498,2018,170,Public Speaking
499,2019,100,Emotional Intelligence
500,2020,70,Global Studies
501,2021,175,Emotional Intelligence
502,2022,25,Creative Writing
503,2023,75,Computer Programming
504,2010,100,Global Studies
505,2011,155,Environmental Science
506,2012,160,Financial Literacy
507,2013,60,Philosophy
508,2014,165,Entrepreneurship
509,2015,165,Philosophy
510,2016,90,Environmental Science
511,2017,35,Computer Programming
512,2018,50,Philosophy
513,2019,135,Creative Writing
514,2020,100,Computer Programming
515,2021,95,Emotional Intelligence
516,2022,40,Philosophy
517,2023,160,Public Speaking
518,2010,110,Creative Writing
519,2011,35,Computer Programming
520,2012,25,Media Literacy
521,2013,185,Global Studies
522,2014,55,Entrepreneurship
523,2015,195,Global Studies
524,2016,125,Public Speaking
525,2017,110,Creative Writing
526,2018,30,Public Speaking
527,2019,90,Global Studies
528,2020,150,Public Speaking
529,2021,75,Philosophy
530,2022,55,Entrepreneurship
531,2023,70,Computer Programming
532,2010,175,Emotional Intelligence
533,2011,150,Environmental Science
534,2012,115,Computer Programming
535,2013,125,Environmental Science
536,2014,45,Media Literacy
537,2015,115,Creative Writing
538,2016,185,Philosophy
539,2017,85,Global Studies
540,2018,95,Entrepreneurship
541,2019,130,Financial Literacy
542,2020,75,Entrepreneurship
543,2021,160,Media Literacy
544,2022,110,Public Speaking
545,2023,85,Computer Programming
546,2010,115,Public Speaking
547,2011,80,Financial Literacy
548,2012,195,Emotional Intelligence
549,2013,90,Emotional Intelligence
550,2014,25,Computer Programming
551,2015,100,Environmental Science
552,2016,30,Philosophy
553,2017,105,Entrepreneurship
554,2018,140,Entrepreneurship
555,2019,180,Entrepreneurship
556,2020,60,Entrepreneurship
557,2021,125,Media Literacy
558,2022,70,Entrepreneurship
559,2023,75,Financial Literacy
560,2010,105,Philosophy
561,2011,25,Financial Literacy
562,2012,180,Environmental Science
563,2013,120,Creative Writing
564,2014,115,Financial Literacy
565,2015,50,Financial Literacy
566,2016,155,Creative Writing
567,2017,35,Environmental Science
568,2018,100,Creative Writing
569,2019,170,Public Speaking
570,2020,90,Entrepreneurship
571,2021,150,Emotional Intelligence
572,2022,125,Philosophy
573,2023,30,Computer Programming
574,2010,155,Environmental Science
575,2011,55,Emotional Intelligence
576,2012,60,Public Speaking
577,2013,100,Global Studies
578,2014,155,Public Speaking
579,2015,120,Creative Writing
580,2016,185,Environmental Science
581,2017,65,Computer Programming
582,2018,50,Financial Literacy
583,2019,50,Creative Writing
584,2020,155,Media Literacy
585,2021,125,Global Studies
586,2022,105,Creative Writing
587,2023,110,Environmental Science
588,2010,150,Entrepreneurship
589,2011,75,Entrepreneurship
590,2012,25,Computer Programming
591,2013,165,Entrepreneurship
592,2014,95,Financial Literacy
593,2015,130,Public Speaking
594,2016,25,Financial Literacy
595,2017,145,Philosophy
596,2018,70,Global Studies
597,2019,110,Computer Programming
598,2020,55,Environmental Science
599,2021,105,Environmental Science
600,2022,120,Global Studies
601,2023,195,Financial Literacy
602,2010,65,Financial Literacy
603,2011,165,Public Speaking
604,2012,50,Creative Writing
605,2013,165,Media Literacy
606,2014,155,Media Literacy
607,2015,110,Entrepreneurship
608,2016,25,Media Literacy
609,2017,30,Philosophy
610,2018,105,Philosophy
611,2019,30,Global Studies
612,2020,70,Public Speaking
613,2021,190,Media Literacy
614,2022,90,Global Studies
615,2023,190,Entrepreneurship
616,2010,45,Media Literacy
617,2011,50,Global Studies
618,2012,45,Philosophy
619,2013,165,Media Literacy
620,2014,90,Emotional Intelligence
621,2015,185,Financial Literacy
622,2016,55,Emotional Intelligence
623,2017,190,Environmental Science
624,2018,165,Media Literacy
625,2019,130,Computer Programming
626,2020,115,Emotional Intelligence
627,2021,155,Philosophy
628,2022,165,Financial Literacy
629,2023,70,Financial Literacy
630,2010,55,Creative Writing
631,2011,80,Global Studies
632,2012,85,Global Studies
633,2013,25,Entrepreneurship
634,2014,180,Environmental Science
635,2015,95,Global Studies
636,2016,25,Entrepreneurship
637,2017,65,Creative Writing
638,2018,45,Emotional Intelligence
639,2019,45,Global Studies
640,2020,85,Public Speaking
641,2021,65,Financial Literacy
642,2022,115,Computer Programming
643,2023,110,Financial Literacy
644,2010,145,Computer Programming
645,2011,165,Entrepreneurship
646,2012,80,Public Speaking
647,2013,135,Public Speaking
648,2014,45,Environmental Science
649,2015,190,Computer Programming
650,2016,75,Environmental Science
651,2017,195,Philosophy
652,2018,185,Global Studies
653,2019,195,Global Studies
654,2020,70,Global Studies
655,2021,85,Creative Writing
656,2022,120,Philosophy
657,2023,160,Philosophy
658,2010,115,Computer Programming
659,2011,190,Creative Writing
660,2012,65,Media Literacy
661,2013,85,Media Literacy
662,2014,40,Financial Literacy
663,2015,95,Creative Writing
664,2016,140,Financial Literacy
665,2017,115,Global Studies
666,2018,50,Entrepreneurship
667,2019,140,Global Studies
668,2020,45,Emotional Intelligence
669,2021,120,Environmental Science
670,2022,55,Environmental Science
671,2023,50,Global Studies
672,2010,190,Emotional Intelligence
673,2011,115,Computer Programming
674,2012,95,Environmental Science
675,2013,75,Global Studies
676,2014,155,Global Studies
677,2015,150,Creative Writing
678,2016,50,Environmental Science
679,2017,25,Global Studies
680,2018,60,Creative Writing
681,2019,90,Emotional Intelligence
682,2020,30,Financial Literacy
683,2021,60,Entrepreneurship
684,2022,30,Media Literacy
685,2023,85,Entrepreneurship
686,2010,95,Entrepreneurship
687,2011,80,Financial Literacy
688,2012,90,Entrepreneurship
689,2013,110,Media Literacy
690,2014,140,Philosophy
691,2015,60,Environmental Science
692,2016,190,Global Studies
693,2017,60,Media Literacy
694,2018,75,Entrepreneurship
695,2019,165,Financial Literacy
696,2020,95,Philosophy
697,2021,100,Emotional Intelligence
698,2022,130,Computer Programming
699,2023,25,Creative Writing
700,2010,40,Creative Writing
701,2011,160,Creative Writing
702,2012,50,Global Studies
703,2013,100,Philosophy
704,2014,50,Philosophy
705,2015,120,Public Speaking
706,2016,35,Entrepreneurship
707,2017,35,Entrepreneurship
708,2018,70,Emotional Intelligence
709,2019,115,Media Literacy
710,2020,185,Creative Writing
711,2021,115,Public Speaking
712,2022,155,Environmental Science
713,2023,60,Emotional Intelligence
714,2010,125,Public Speaking
715,2011,45,Public Speaking
716,2012,85,Philosophy
717,2013,25,Emotional Intelligence
718,2014,90,Entrepreneurship
719,2015,90,Emotional Intelligence
720,2016,185,Entrepreneurship
721,2017,175,Emotional Intelligence
722,2018,40,Emotional Intelligence
723,2019,150,Media Literacy
724,2020,85,Public Speaking
725,2021,130,Global Studies
726,2022,100,Creative Writing
727,2023,165,Emotional Intelligence
728,2010,150,Public Speaking
729,2011,190,Philosophy
730,2012,130,Philosophy
731,2013,155,Environmental Science
732,2014,160,Entrepreneurship
733,2015,95,Financial Literacy
734,2016,190,Environmental Science
735,2017,165,Creative Writing
736,2018,190,Computer Programming
737,2019,145,Creative Writing
738,2020,60,Entrepreneurship
739,2021,145,Emotional Intelligence
740,2022,150,Philosophy
741,2023,95,Emotional Intelligence
742,2010,40,Financial Literacy
743,2011,195,Environmental Science
744,2012,25,Global Studies
745,2013,55,Emotional Intelligence
746,2014,180,Philosophy
747,2015,55,Computer Programming
748,2016,50,Financial Literacy
749,2017,155,Creative Writing
750,2018,35,Financial Literacy
751,2019,80,Creative Writing
752,2020,135,Environmental Science
753,2021,55,Emotional Intelligence
754,2022,185,Computer Programming
755,2023,135,Global Studies
756,2010,130,Computer Programming
757,2011,60,Computer Programming
758,2012,165,Emotional Intelligence
759,2013,150,Global Studies
760,2014,185,Philosophy
761,2015,25,Environmental Science
762,2016,130,Creative Writing
763,2017,35,Philosophy
764,2018,25,Environmental Science
765,2019,80,Computer Programming
766,2020,25,Philosophy
767,2021,100,Creative Writing
768,2022,110,Computer Programming
769,2023,185,Media Literacy
770,2010,125,Computer Programming
771,2011,55,Environmental Science
772,2012,120,Philosophy
773,2013,180,Philosophy
774,2014,55,Media Literacy
775,2015,115,Public Speaking
776,2016,90,Philosophy
777,2017,110,Global Studies
778,2018,195,Emotional Intelligence
779,2019,105,Global Studies
780,2020,85,Environmental Science
781,2021,175,Public Speaking
782,2022,45,Entrepreneurship
783,2023,160,Creative Writing
784,2010,145,Public Speaking
785,2011,145,Global Studies
786,2012,25,Environmental Science
787,2013,190,Environmental Science
788,2014,170,Public Speaking
789,2015,170,Public Speaking
790,2016,100,Environmental Science
791,2017,95,Public Speaking
792,2018,140,Public Speaking
793,2019,85,Global Studies
794,2020,135,Media Literacy
795,2021,190,Emotional Intelligence
796,2022,105,Philosophy
797,2023,50,Emotional Intelligence
798,2010,120,Media Literacy
799,2011,120,Public Speaking
800,2012,40,Computer Programming
801,2013,30,Philosophy
802,2014,40,Philosophy
803,2015,35,Environmental Science
804,2016,90,Public Speaking
805,2017,160,Global Studies
806,2018,120,Public Speaking
807,2019,90,Financial Literacy
808,2020,105,Financial Literacy
809,2021,150,Computer Programming
810,2022,150,Environmental Science
811,2023,90,Financial Literacy
812,2010,140,Emotional Intelligence
813,2011,30,Philosophy
814,2012,100,Public Speaking
815,2013,145,Media Literacy
816,2014,40,Creative Writing
817,2015,170,Global Studies
818,2016,130,Emotional Intelligence
819,2017,160,Global Studies
820,2018,160,Media Literacy
821,2019,100,Philosophy
822,2020,90,Global Studies
823,2021,115,Emotional Intelligence
824,2022,30,Financial Literacy
825,2023,180,Creative Writing
826,2010,135,Emotional Intelligence
827,2011,100,Global Studies
828,2012,70,Environmental Science
829,2013,165,Public Speaking
830,2014,155,Financial Literacy
831,2015,190,Financial Literacy
832,2016,55,Emotional Intelligence
833,2017,135,Environmental Science
834,2018,125,Global Studies
835,2019,25,Financial Literacy
836,2020,185,Financial Literacy
837,2021,30,Creative Writing
838,2022,75,Financial Literacy
839,2023,30,Environmental Science
840,2010,40,Computer Programming
841,2011,40,Financial Literacy
842,2012,95,Entrepreneurship
843,2013,60,Entrepreneurship
844,2014,60,Public Speaking
845,2015,180,Creative Writing
846,2016,135,Computer Programming
847,2017,70,Computer Programming
848,2018,100,Emotional Intelligence
849,2019,65,Emotional Intelligence
850,2020,125,Creative Writing
851,2021,100,Emotional Intelligence
852,2022,130,Global Studies
853,2023,150,Emotional Intelligence
854,2010,160,Entrepreneurship
855,2011,140,Philosophy
856,2012,75,Emotional Intelligence
857,2013,165,Global Studies
858,2014,165,Environmental Science
859,2015,150,Global Studies
860,2016,40,Creative Writing
861,2017,90,Media Literacy
862,2018,125,Computer Programming
863,2019,30,Public Speaking
864,2020,85,Financial Literacy
865,2021,130,Environmental Science
866,2022,110,Creative Writing
867,2023,170,Computer Programming
868,2010,140,Environmental Science
869,2011,110,Philosophy
870,2012,75,Environmental Science
871,2013,45,Media Literacy
872,2014,25,Financial Literacy
873,2015,60,Philosophy
874,2016,55,Emotional Intelligence
875,2017,105,Philosophy
876,2018,130,Financial Literacy
877,2019,75,Creative Writing
878,2020,80,Emotional Intelligence
879,2021,105,Media Literacy
880,2022,65,Financial Literacy
881,2023,185,Emotional Intelligence
882,2010,185,Public Speaking
883,2011,120,Philosophy
884,2012,70,Computer Programming
885,2013,90,Public Speaking
886,2014,65,Public Speaking
887,2015,180,Emotional Intelligence
888,2016,155,Media Literacy
889,2017,100,Global Studies
890,2018,170,Creative Writing
891,2019,125,Philosophy
892,2020,35,Financial Literacy
893,2021,115,Environmental Science
894,2022,185,Public Speaking
895,2023,85,Media Literacy
896,2010,110,Computer Programming
897,2011,70,Entrepreneurship
898,2012,70,Computer Programming
899,2013,175,Financial Literacy
900,2014,165,Philosophy
901,2015,165,Public Speaking
902,2016,190,Public Speaking
903,2017,125,Entrepreneurship
904,2018,75,Environmental Science
905,2019,185,Environmental Science
906,2020,135,Philosophy
907,2021,70,Financial Literacy
908,2022,115,Philosophy
909,2023,75,Philosophy
910,2010,125,Computer Programming
911,2011,50,Computer Programming
912,2012,135,Environmental Science
913,2013,65,Creative Writing
914,2014,110,Philosophy
915,2015,85,Computer Programming
916,2016,170,Emotional Intelligence
917,2017,100,Media Literacy
918,2018,50,Financial Literacy
919,2019,170,Emotional Intelligence
920,2020,155,Philosophy
921,2021,65,Computer Programming
922,2022,185,Entrepreneurship
923,2023,185,Media Literacy
924,2010,125,Financial Literacy
925,2011,95,Global Studies
926,2012,115,Public Speaking
927,2013,130,Creative Writing
928,2014,110,Philosophy
929,2015,55,Environmental Science
930,2016,60,Philosophy
931,2017,80,Emotional Intelligence
932,2018,190,Global Studies
933,2019,180,Creative Writing
934,2020,145,Public Speaking
935,2021,155,Philosophy
936,2022,90,Entrepreneurship
937,2023,130,Environmental Science
938,2010,95,Creative Writing
939,2011,50,Financial Literacy
940,2012,180,Financial Literacy
941,2013,110,Public Speaking
942,2014,105,Philosophy
943,2015,170,Environmental Science
944,2016,85,Global Studies
945,2017,160,Media Literacy
946,2018,95,Financial Literacy
947,2019,75,Global Studies
948,2020,125,Media Literacy
949,2021,110,Media Literacy
950,2022,65,Philosophy
951,2023,45,Financial Literacy
952,2010,85,Public Speaking
953,2011,120,Emotional Intelligence
954,2012,115,Emotional Intelligence
955,2013,110,Emotional Intelligence
956,2014,135,Computer Programming
957,2015,75,Global Studies
958,2016,50,Emotional Intelligence
959,2017,30,Financial Literacy
960,2018,170,Entrepreneurship
961,2019,170,Emotional Intelligence
962,2020,110,Public Speaking
963,2021,95,Emotional Intelligence
964,2022,130,Global Studies
965,2023,40,Public Speaking
966,2010,115,Public Speaking
967,2011,85,Global Studies
968,2012,80,Media Literacy
969,2013,150,Global Studies
970,2014,130,Computer Programming
